SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,MARKETDIST
PAST SALE,March-4-2021,Single Family Residential,1932 Walgrove Ave,Los Angeles,CA,90066,1630000,3,2,C13 - Palms - Mar Vista,1558,4987,1947,222,1046,,Sold,,,http://www.redfin.com/CA/Los-Angeles/1932-Walgrove-Ave-90066/home/6745929,CRMLS,SB21001627,N,Y,34.0028028,-118.4503642,
PAST SALE,October-27-2020,Single Family Residential,12906 Warren Ave,Los Angeles,CA,90066,2095000,4,3.5,Palms - Mar Vista,2267,6050,2014,350,924,,Sold,,,http://www.redfin.com/CA/Los-Angeles/12906-Warren-Ave-90066/home/6745237,TheMLS,20-611030,N,Y,34.0097913,-118.4501022,
PAST SALE,February-19-2021,Single Family Residential,13030 Warren Ave,Los Angeles,CA,90066,1650000,3,3,Palms - Mar Vista,1844,6272,1953,235,895,,Sold,,,http://www.redfin.com/CA/Los-Angeles/13030-Warren-Ave-90066/home/6745247,TheMLS,21-773308,N,Y,34.0099042,-118.4518817,
PAST SALE,July-27-2021,Single Family Residential,13123 Lake St,Los Angeles,CA,90066,1600000,3,1.5,Palms - Mar Vista,1634,6672,1953,77,979,,Sold,,,http://www.redfin.com/CA/Los-Angeles/13123-Lake-St-90066/home/6745538,TheMLS,21-719014,N,Y,34.0085844,-118.4518817,
PAST SALE,,Single Family Residential,13130 Lake St,Los Angeles,CA,90066,1500000,3,3,,1255,5723,1953,,1195,,,,,http://www.redfin.com/CA/Los-Angeles/13130-Lake-St-90066/home/6745544,,,N,Y,34.0081786,-118.4520642,
PAST SALE,October-28-2020,Single Family Residential,12923 Warren Ave,Los Angeles,CA,90066,2750000,4,4,C13 - Palms - Mar Vista,3420,6050,2016,349,804,,Sold,,,http://www.redfin.com/CA/Los-Angeles/12923-Warren-Ave-90066/home/6747618,CRISNet,SR20129432,N,Y,34.0102652,-118.4506041,
PAST SALE,June-16-2021,Single Family Residential,3207 Rosewood Ave,Los Angeles,CA,90066,2000000,3,1.5,Palms - Mar Vista,1495,6048,1953,118,1338,,Sold,,,http://www.redfin.com/CA/Los-Angeles/3207-Rosewood-Ave-90066/home/6747635,TheMLS,21-734670,N,Y,34.011297,-118.4518817,1.7
PAST SALE,,Single Family Residential,12914 Rose Ave,Los Angeles,CA,90066,1400000,3,2,,1201,7063,1953,,1166,,,,,http://www.redfin.com/CA/Los-Angeles/12914-Rose-Ave-90066/home/6747736,,,N,Y,34.0101633,-118.4494177,
PAST SALE,May-20-2021,Single Family Residential,12300 Clover Ave,Los Angeles,CA,90066,2400000,4,3,C13 - Palms - Mar Vista,2605,5623,1947,145,921,,Sold,,,http://www.redfin.com/CA/Los-Angeles/12300-Clover-Ave-90066/home/6748386,CRISNet,SR20187168,N,Y,34.0182463,-118.4436683,
PAST SALE,April-16-2021,Single Family Residential,3744 Stewart Ave,Mar Vista,CA,90066,2840000,4,5,C13 - Palms - Mar Vista,3252,6257,1940,179,873,,Sold,,,http://www.redfin.com/CA/Los-Angeles/3744-Stewart-Ave-90066/home/6747044,CRMLS,SB21058116,N,Y,34.0036518,-118.4382381,
PAST SALE,,Single Family Residential,12019 Dewey St,Los Angeles,CA,90066,1500000,3,2,,1197,5500,1948,,1253,,,,,http://www.redfin.com/CA/Los-Angeles/12019-Dewey-St-90066/home/6748516,,,N,Y,34.0189121,-118.4398796,
PAST SALE,December-8-2020,Single Family Residential,3541 May St,Mar Vista,CA,90066,1375000,3,1,C13 - Palms - Mar Vista,1102,5830,1950,308,1248,,Sold,,,http://www.redfin.com/CA/Los-Angeles/3541-May-St-90066/home/6746571,CRMLS,SB20240467,N,Y,34.0062754,-118.4432068,
